Features,CHI,RFE_RANK,RFE_SUP,IG,Select
state,1.950451366,3,FALSE,0.016823294,no
area.code,0.109567447,1,TRUE,0.008502544,no
account.length,35.46545287,7,FALSE,0.020822789,no
voice.plan,45.7368976,1,TRUE,0.043416255,yes
voice.messages,1142.512819,1,TRUE,0.024671205,yes
intl.plan,305.9583028,1,TRUE,0.068708265,yes
intl.mins,14.20916886,8,FALSE,0.097799735,yes
intl.calls,14.66599743,1,TRUE,0.085313724,yes
intl.charge,3.834209357,10,FALSE,0.010532944,no
day.mins,3465.902526,1,TRUE,0.159875453,yes
day.calls,5.045302371,2,FALSE,0.019934384,no
day.charge,589.1608944,5,FALSE,0.100070036,yes
eve.mins,502.4094939,4,FALSE,0.098533152,yes
eve.calls,0.597518524,1,TRUE,0.010576336,no
eve.charge,42.69731031,9,FALSE,0.042178204,no
night.mins,130.939624,6,FALSE,0.038415993,no
night.calls,0.897285173,1,TRUE,0.01471312,no
night.charge,5.89111049,11,FALSE,0.03448835,no
customer.calls,246.1032307,1,TRUE,0.104624218,yes
